--------------------------------------------------------------------------------------------------
Simulador de contagios. 2.0.1.0
05/04/2020 13:35:50
--------------------------------------------------------------------------------------------------
Prefijo SR50b
Número de hilos                              34
Potencia para fin de infección             3,00

Probabilidad base de contagio              4,00 %
Probabilidad contagio cluster              5,00 %
Probabilidad base de REcontagio            0,00 %
Días mínimos de inmunidad                     5
Días de carencia para contagiar               3
Días de incubación                            7
Probabilidad de enfermar                 100,00 %
Factor probab. contagio enfermo           25,00 %
Probabilidad de hospitalización           10,00 %
Factor prob. contagio hospitalizad         0,00 %
Densidad crítica de vecinos infect         0,00 %
Probabilidad contagio ambiental            0,00 %

Número de individuos                     50.000
Radio                                     2.694
Número de focos iniciales                    10
Número de inmunes iniciales                   0
Número de focos a importar                    0 cada 0 días, del grupo adulto
Radio de contacto                             1
Longitud media 10 pasos                       4
Tabla de vecinos                   Si          

Número clusters objetivo                    125
Número clusters generados                    51 con        4.080 individuos,            2 infectados de inicio
Factor individuos por cluster              1,00

                        - Edad- % Factor B    Días         %      Num.Pasos      %                          %      Individuos 
Grupo            Género Min Max   Contagio  Duración    Curación   Min   Max Individuos   Individuos     clusters    cluster  
---------------- ------ --- --- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------
nene                  2   0   4       10,0       30,0       99,3    70    90       4,00        2.000          4,0           40
menor                 2   5  19        5,0       30,0      100,0    80   110      15,00        7.500         15,0           60
adulto                2  20  64       40,0       30,0       99,4    80   120      62,00       31.000         62,0          100
jubilado              2  65  69     1000,0       30,0       96,8    70    90       5,00        2.500          5,0           50
mayor                 2  70 150      800,0       30,0       83,5    60    70      14,00        7.000         14,0           40
---------------- ------ --- --- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------

Valores al final del día
                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos   Enfermos Hospitaliz  Ambiental
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      49990         10          0          0          0          0      56,39       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  2      49990         10          0          0          0          0      56,36       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  3      49990         10          0          0          0          0      56,38       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  4      49984         16          0          0          0          0      56,37       0,22        0,0       0,00          0          6          6          0          0          0          0          0
  5      49981         19          0          0          0          0      56,37       0,37        0,0       0,00          1          8          8          0          0          0          0          0
  6      49979         21          0          0          0          0      56,38       0,48        0,0       0,00          2          9          9          0          0          0          0          0
  7      49965         35          0          0          0          0      56,37       0,60        0,0       0,00          2         23         23          0          0         10          1          0
  8      49954         46          0          0          0          0      56,37       0,70        0,0       0,00          2         34         34          0          0         10          1          0
  9      49945         55          0          0          0          0      56,38       0,81        0,0       0,00          3         42         42          0          0         10          1          0
 10      49911         88          0          1          0          0      56,38       0,94        2,0       0,00          9         70         69          1          0         16          1          0
 11      49891        107          0          2          0          0      56,38       1,08        6,0       0,50         12         87         86          1          0         18          1          0
 12      49875        122          0          3          0          0      56,37       1,06        7,7       0,33         20         95         94          1          0         19          1          0
 13      49866        131          0          3          0          0      56,36       1,01        7,7       0,33         25         99         98          1          0         33          4          0
 14      49853        144          0          3          0          0      56,36       1,16        7,7       0,33         33        104        103          1          0         43          5          0
 15      49839        158          0          3          0          0      56,36       1,45        7,7       0,33         41        110        109          1          0         52          6          0
 16      49826        171          0          3          0          0      56,37       1,62        7,7       0,33         53        111        110          1          0         86          9          0
 17      49815        182          0          3          0          0      56,36       1,71        7,7       0,33         61        114        113          1          0        106          9          0
 18      49783        213          0          4          0          0      56,36       1,84       10,0       0,25         68        139        138          1          0        121         11          0
 19      49758        238          0          4          0          0      56,35       1,80       10,0       0,25         79        153        152          1          0        130         13          0
 20      49734        262          0          4          0          0      56,34       1,77       10,0       0,25         88        168        167          1          0        143         14          0
 21      49701        294          0          5          0          0      56,34       1,77       12,0       0,20         95        194        193          1          0        156         18          0
 22      49670        325          0          5          0          0      56,34       1,77       12,0       0,20        103        217        216          1          0        169         20          0
 23      49631        364          0          5          0          0      56,34       1,79       12,0       0,20        116        243        242          1          0        180         20          0
 24      49580        414          0          6          0          0      56,34       1,76       12,0       0,83        135        275        273          2          0        211         23          0
 25      49543        451          0          6          0          0      56,33       1,77       12,0       0,83        151        296        294          2          0        236         26          0
 26      49493        500          0          7          0          0      56,33       1,76       12,9       0,86        168        329        326          3          0        259         28          0
 27      49433        558          0          9          0          0      56,33       1,75       12,9       1,11        189        368        364          4          0        290         30          0
 28      49374        614          0         11          0          1      56,33       1,77       14,9       2,00        214        402        396          6          0        318         30          0
 29      49295        689          0         15          0          1      56,32       1,76       16,5       2,00        238        457        447         10          0        353         34          0
 30      49233        745          0         21          0          1      56,32       1,77       17,7       2,09        259        498        485         13          0        398         41          0
 31      49160        810          0         29          0          1      56,32       1,76       18,3       1,90        290        540        522         18          0        427         45          0
 32      49078        879          0         42          0          1      56,32       1,76       20,1       1,98        326        586        559         27          0        464         48          0
 33      49025        920          0         54          0          1      56,32       1,77       20,6       2,00        358        607        570         37          0        512         51          0
 34      48976        959          0         64          0          1      56,33       1,78       20,6       1,91        391        623        580         43          0        561         58          0
 35      48908       1016          0         75          0          1      56,33       1,78       20,8       2,22        433        649        597         52          0        629         73          0
 36      48847       1062          0         90          0          1      56,33       1,80       21,0       2,03        465        678        618         60          0        676         77          0
 37      48766       1132          0        100          0          2      56,33       1,82       21,0       1,96        513        711        645         66          0        738         84          0
 38      48679       1205          0        114          0          2      56,33       1,83       21,6       1,89        554        757        681         76          0        806         92          0
 39      48614       1246          0        137          0          3      56,33       1,85       21,6       1,89        586        790        697         93          0        835         98          0
 40      48534       1310          0        153          0          3      56,33       1,85       21,8       1,89        635        821        717        104          0        868        107          0
 41      48457       1349          0        190          0          4      56,33       1,86       22,2       1,88        679        854        724        130          0        898        112          0
 42      48379       1396          0        221          0          4      56,33       1,86       22,3       1,75        720        891        740        151          0        928        116          0
 43      48269       1482          0        245          0          4      56,32       1,87       22,4       1,69        771        950        790        160          0        985        124          0
 44      48154       1576          0        265          0          5      56,33       1,86       22,5       1,69        822       1014        843        171          0       1051        129          0
 45      48035       1655          0        304          0          6      56,32       1,86       22,5       1,67        873       1082        891        191          0       1076        130          0
 46      47916       1740          0        337          0          7      56,32       1,84       22,4       1,69        916       1158        943        215          0       1122        133          0
 47      47802       1829          0        360          0          9      56,32       1,84       22,4       1,66        962       1226        998        228          0       1174        138          0
 48      47688       1901          0        401          0         10      56,32       1,84       22,4       1,63       1015       1287       1031        256          0       1210        141          0
 49      47541       2000          0        446          0         13      56,32       1,84       22,4       1,63       1088       1361       1067        293          1       1272        147          0
 50      47400       2104          0        480          0         16      56,32       1,84       22,4       1,66       1157       1433       1115        317          1       1350        152          0
 51      47272       2195          0        515          0         18      56,32       1,84       22,5       1,63       1230       1488       1148        339          1       1432        164          0
 52      47150       2273          0        557          0         20      56,32       1,84       22,8       1,64       1305       1535       1165        369          1       1507        164          0
 53      47021       2354          0        600          0         25      56,32       1,84       22,8       1,58       1384       1585       1191        393          1       1573        169          0
 54      46917       2403          0        650          0         30      56,32       1,85       22,9       1,56       1442       1631       1208        421          2       1633        175          0
 55      46801       2456          0        710          0         33      56,32       1,85       23,2       1,53       1517       1672       1219        451          2       1717        179          0
 56      46671       2546          0        746          0         37      56,33       1,87       23,3       1,55       1598       1721       1250        469          2       1818        192          0
 57      46547       2621          0        793          0         39      56,33       1,87       23,3       1,60       1668       1775       1274        498          3       1896        200          0
 58      46428       2674          0        853          0         45      56,33       1,87       23,5       1,56       1739       1823       1282        538          3       1952        202          0
