Fichero                                                      Desv.Media
------------------------------------------------------------ ---------- --
C:\Contagio\SR50b\s001.log                                       133,97 ok
C:\Contagio\SR50b\s002.log                                        94,76 ok
C:\Contagio\SR50b\s003.log                                        51,93 ok
C:\Contagio\SR50b\s004.log                                       430,11 
C:\Contagio\SR50b\s005.log                                       272,16 
C:\Contagio\SR50b\s006.log                                        70,08 ok
C:\Contagio\SR50b\s007.log                                        80,93 ok
C:\Contagio\SR50b\s008.log                                        78,58 ok
C:\Contagio\SR50b\s009.log                                        71,56 ok
C:\Contagio\SR50b\s010.log                                       202,54 ok
C:\Contagio\SR50b\s011.log                                       107,18 ok
C:\Contagio\SR50b\s012.log                                        71,79 ok
C:\Contagio\SR50b\s013.log                                        54,86 ok
C:\Contagio\SR50b\s014.log                                        88,04 ok
C:\Contagio\SR50b\s015.log                                        96,28 ok
C:\Contagio\SR50b\s016.log                                       555,33 
C:\Contagio\SR50b\s017.log                                        60,72 ok
C:\Contagio\SR50b\s018.log                                        77,42 ok
C:\Contagio\SR50b\s019.log                                        73,60 ok
C:\Contagio\SR50b\s020.log                                        79,07 ok
C:\Contagio\SR50b\s021.log                                        93,94 ok
C:\Contagio\SR50b\s022.log                                        69,90 ok
C:\Contagio\SR50b\s023.log                                       114,50 ok
C:\Contagio\SR50b\s024.log                                        66,49 ok
C:\Contagio\SR50b\s025.log                                        69,42 ok
C:\Contagio\SR50b\s026.log                                       516,93 
C:\Contagio\SR50b\s027.log                                       127,97 ok
C:\Contagio\SR50b\s028.log                                        89,72 ok
C:\Contagio\SR50b\s029.log                                        55,82 ok
C:\Contagio\SR50b\s030.log                                        58,84 ok
C:\Contagio\SR50b\s031.log                                        63,03 ok
C:\Contagio\SR50b\s032.log                                        62,33 ok
C:\Contagio\SR50b\s033.log                                       270,27 
C:\Contagio\SR50b\s034.log                                        81,56 ok
------------------------------------------------------------ ---------- --
                                           2 x     132,11  =     264,22
------------------------------------------------------------ ---------- --

                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos   Enfermos Hospitaliz  Ambiental
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      49990         10          0          0          0          0      56,37       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  2      49990         10          0          0          0          0      56,37       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  3      49990         10          0          0          0          0      56,36       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  4      49982         17          0          0          0          0      56,35       0,42        0,0       0,00          0          6          6          0          0          0          0          0
  5      49977         22          0          0          0          0      56,35       0,54        0,0       0,00          1         11         11          0          0          0          0          0
  6      49972         27          0          0          0          0      56,35       0,66        0,0       0,00          2         14         14          0          0          0          0          0
  7      49960         39          0          0          0          0      56,35       0,72        0,0       0,00          3         25         25          0          0         10          0          0
  8      49947         52          0          0          0          0      56,35       0,83        0,0       0,00          5         37         37          0          0         10          0          0
  9      49930         69          0          0          0          0      56,35       0,89        0,8       0,59          7         52         52          0          0          9          0          0
 10      49900         99          0          0          0          0      56,34       0,91        1,3       0,66         10         78         78          0          0         17          1          0
 11      49867        132          0          0          0          0      56,34       0,92        1,4       0,45         14        107        107          0          0         22          2          0
 12      49834        164          0          0          0          0      56,34       0,94        3,0       0,59         19        135        135          0          0         27          2          0
 13      49794        204          0          0          0          0      56,35       0,99        5,2       1,41         27        167        167          0          0         39          3          0
 14      49757        241          0          0          0          0      56,35       1,06        6,3       1,87         36        195        195          0          0         51          5          0
 15      49719        279          0          1          0          0      56,35       1,14        7,4       2,13         49        221        220          0          0         68          6          0
 16      49677        320          0          1          0          0      56,35       1,20        9,1       1,81         64        247        246          0          0         97          9          0
 17      49632        364          0          2          0          0      56,34       1,27       10,5       2,22         81        275        274          1          0        129         12          0
 18      49574        421          0          3          0          0      56,35       1,31       11,4       2,53         96        318        316          1          0        161         15          0
 19      49506        488          0          4          0          0      56,35       1,33       11,7       2,16        113        370        367          2          0        200         19          0
 20      49432        561          0          5          0          0      56,35       1,36       11,9       2,07        131        426        423          3          0        236         22          0
 21      49347        644          0          7          0          0      56,35       1,38       12,1       2,03        152        489        484          4          0        273         25          0
 22      49255        735          0          9          0          0      56,35       1,40       12,3       2,02        176        558        552          5          0        312         30          0
 23      49152        835          0         12          0          0      56,35       1,41       12,9       1,90        203        634        625          8          0        354         34          0
 24      49035        948          0         15          0          0      56,35       1,43       13,4       1,98        233        720        709         10          0        409         40          0
