--------------------------------------------------------------------------------------------------
Simulador de contagios. 1.4.3.3
01/04/2020 12:29:16
--------------------------------------------------------------------------------------------------
Prefijo SR50k100F
Potencia para fin de infección             3,00

Probabilidad base de contagio              2,00 %
Probabilidad contagio cluster              4,00 %
Probabilidad base de REcontagio            0,00 %
Días mínimos de inmunidad                     5
Días de carencia para contagiar               3
Días de incubación                            7
Probabilidad de enfermar                 100,00 %
Factor probab. contagio enfermo           25,00 %
Probabilidad de hospitalización           10,00 %
Factor prob. contagio hospitalizad         0,00 %
Densidad crítica de vecinos infect         0,00 %
Probabilidad contagio ambiental            0,00 %

Número de individuos                     50.000
Radio                                     2.694
Número de focos iniciales                   100
Número de inmunes iniciales                   0
Número de focos a importar                    0 cada 0 días, del grupo adulto
Radio de contacto                             1
Longitud media 10 pasos                       4
Tabla de vecinos                   Si          

Número clusters objetivo                    125
Número clusters generados                   123 con        9.960 Individuos
Factor individuos por cluster              1,00

                        - Edad- % Factor B    Días         %      Num.Pasos      %             %      Individuos
Grupo            Género Min Max   Contagio  Duración    Curación   Min   Max Individuos     clusters    cluster 
---------------- ------ --- --- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------
nene                  2   0   4        8,0       30,0      100,0   100   120       4,00          4,0           40
menor                 2   5  19        3,0       30,0      100,0    90   120      15,00         15,0           60
adulto                2  20  64      100,0       30,0       99,5    80   120      62,00         62,0          100
jubilado              2  65  69      413,0       30,0       97,4    60   120       5,00          5,0           50
mayor                 2  70 150      283,0       30,0       85,4    20   120      14,00         14,0           40
---------------- ------ --- --- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------

Valores al final del día
                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos   Enfermos Hospitaliz  Ambiental
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      49900        100          0          0          0          0      58,92       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  2      49900        100          0          0          0          0      58,80       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  3      49900        100          0          0          0          0      58,77       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  4      49841        159          0          0          0          0      58,72       0,66        0,0       0,00          4         55         55          0          0          0          0          0
  5      49776        224          0          0          0          0      58,74       0,85        0,0       0,00         19        105        105          0          0          0          0          0
  6      49725        275          0          0          0          0      58,79       0,87        0,0       0,00         25        150        150          0          0          0          0          0
  7      49488        512          0          0          0          0      58,78       0,95        0,0       0,00         36        376        376          0          0        100          6          0
  8      49257        743          0          0          0          0      58,76       0,89        0,0       0,00         41        602        602          0          0        100          6          0
  9      49044        956          0          0          0          0      58,75       0,84        0,0       0,00         46        810        810          0          0        100          6          0
 10      48807       1193          0          0          0          0      58,74       0,93        0,0       0,00         67       1026       1026          0          0        159          9          0
 11      48653       1346          0          1          0          0      58,73       1,08        6,0       4,00        112       1135       1134          1          0        223         13          0
 12      48533       1466          0          1          0          0      58,72       1,21        6,0       4,00        150       1217       1216          1          0        274         17          0
 13      48379       1617          0          4          0          0      58,72       1,33        9,8       1,25        203       1318       1317          1          0        508         38          0
 14      48245       1749          0          6          0          0      58,71       1,44        7,8       0,83        255       1400       1397          3          0        739         68          0
 15      48129       1859          0         12          0          0      58,71       1,52        9,5       2,00        308       1463       1457          6          0        945         87          0
 16      47925       2056          0         19          0          0      58,71       1,57        9,7       1,37        360       1615       1604         11          0       1175        110          0
 17      47672       2302          0         26          0          0      58,72       1,62       10,0       1,42        401       1827       1811         16          0       1321        129          0
 18      47372       2595          0         33          0          0      58,71       1,65       10,3       1,48        437       2091       2070         21          0       1434        140          0
 19      46933       3026          0         41          0          0      58,73       1,66       11,0       1,71        497       2470       2444         26          0       1580        155          0
 20      46488       3456          0         54          0          2      58,72       1,66       11,8       1,80        546       2866       2829         36          1       1699        163          0
