--------------------------------------------------------------------------------------------------
Simulador de contagios. 1.4.3.3
01/04/2020 06:40:38
--------------------------------------------------------------------------------------------------
Prefijo SR75k
Potencia para fin de infección             3,00

Probabilidad base de contagio              2,00 %
Probabilidad contagio cluster              4,00 %
Probabilidad base de REcontagio            0,00 %
Días mínimos de inmunidad                     5
Días de carencia para contagiar               3
Días de incubación                            7
Probabilidad de enfermar                 100,00 %
Factor probab. contagio enfermo           25,00 %
Probabilidad de hospitalización           10,00 %
Factor prob. contagio hospitalizad         0,00 %
Densidad crítica de vecinos infect       101,00 %
Probabilidad contagio ambiental            0,00 %

Número de individuos                     75.000
Radio                                     3.299
Número de focos iniciales                    10
Número de inmunes iniciales                   0
Número de focos a importar                    0 cada 0 días, del grupo adulto
Radio de contacto                             1
Longitud media 10 pasos                       4
Tabla de vecinos                   Si          

Número clusters objetivo                    190
Número clusters generados                   149 con       12.050 Individuos
Factor individuos por cluster              1,00

                        - Edad- % Factor B    Días         %      Num.Pasos      %             %      Individuos
Grupo            Género Min Max   Contagio  Duración    Curación   Min   Max Individuos     clusters    cluster 
---------------- ------ --- --- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------
nene                  2   0   4        8,0       30,0      100,0   100   120       4,00          4,0           40
menor                 2   5  19        3,0       30,0      100,0    90   120      15,00         15,0           60
adulto                2  20  64      100,0       30,0       99,5    80   120      62,00         62,0          100
jubilado              2  65  69      413,0       30,0       97,4    60   120       5,00          5,0           50
mayor                 2  70 150      283,0       30,0       85,4    20   120      14,00         14,0           40
---------------- ------ --- --- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------

Valores al final del día
                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos   Enfermos Hospitaliz  Ambiental
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      74990         10          0          0          0          0      58,80       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  2      74990         10          0          0          0          0      58,74       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  3      74990         10          0          0          0          0      58,69       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  4      74979         21          0          0          0          0      58,72       0,57        0,0       0,00          1         10         10          0          0          0          0          0
  5      74972         28          0          0          0          0      58,71       0,81        0,0       0,00          2         16         16          0          0          0          0          0
  6      74968         32          0          0          0          0      58,70       0,79        0,0       0,00          2         20         20          0          0          0          0          0
  7      74928         72          0          0          0          0      58,70       0,68        0,0       0,00          2         60         60          0          0         10          0          0
  8      74887        113          0          0          0          0      58,70       0,72        0,0       0,00          4         99         99          0          0         10          0          0
  9      74847        153          0          0          0          0      58,70       0,64        0,0       0,00          6        137        137          0          0         10          0          0
 10      74798        202          0          0          0          0      58,70       0,73        0,0       0,00          6        186        186          0          0         21          1          0
 11      74782        218          0          0          0          0      58,72       0,85        0,0       0,00         12        196        196          0          0         28          1          0
 12      74771        229          0          0          0          0      58,72       1,03        0,0       0,00         22        197        197          0          0         32          2          0
 13      74760        240          0          0          0          0      58,74       1,15        0,0       0,00         32        198        198          0          0         72          7          0
 14      74742        257          0          1          0          0      58,73       1,30        6,0       0,00         44        204        203          1          0        112         12          0
 15      74723        274          0          3          0          0      58,74       1,39        9,7       2,00         48        219        217          2          0        150         14          0
 16      74700        297          0          3          0          0      58,73       1,49        9,7       2,00         55        235        233          2          0        199         14          0
 17      74651        346          0          3          0          0      58,73       1,48        9,7       2,00         59        280        278          2          0        215         15          0
 18      74564        431          0          5          0          0      58,73       1,48       10,2       1,20         68        358        354          4          0        224         15          0
 19      74468        527          0          5          0          0      58,73       1,47       10,2       1,20         74        448        444          4          0        235         18          0
 20      74335        659          0          6          0          0      58,74       1,45       11,7       3,17         84        571        567          4          0        252         18          0
 21      74179        812          0          9          0          0      58,74       1,41       12,2       2,44         93        718        711          7          0        268         19          0
 22      74046        941          0         13          0          0      58,74       1,42       13,7       2,38        111        833        823         10          0        287         21          0
 23      73929       1053          0         18          0          0      58,73       1,43       13,7       1,94        132        929        915         14          0        332         25          0
 24      73783       1195          0         22          0          0      58,73       1,49       14,3       1,95        166       1041       1023         18          0        414         35          0
 25      73594       1376          0         30          0          0      58,73       1,54       14,4       1,57        193       1203       1178         25          0        502         45          0
 26      73313       1654          0         33          0          0      58,74       1,54       14,8       1,70        237       1440       1412         28          0        632         50          0
 27      73001       1960          0         39          0          0      58,73       1,55       15,0       1,56        290       1699       1665         34          0        783         62          0
 28      72648       2301          0         51          0          0      58,74       1,54       15,2       1,90        339       2003       1958         45          0        903         76          0
 29      72299       2638          0         63          0          0      58,74       1,52       15,6       1,84        384       2307       2251         56          0       1008         80          0
 30      71957       2962          0         80          0          1      58,74       1,51       16,2       1,59        449       2584       2511         72          1       1136         91          0
 31      71572       3334          0         93          0          1      58,74       1,55       15,9       1,74        530       2888       2806         81          1       1312        113          0
 32      71219       3665          0        115          0          1      58,75       1,58       16,6       1,90        623       3148       3052         95          1       1572        140          0
 33      70859       4009          0        131          0          1      58,75       1,61       17,1       1,92        744       3387       3278        108          1       1867        166          0
 34      70501       4338          0        160          0          1      58,75       1,65       17,5       1,86        831       3658       3522        135          1       2191        194          0
 35      70049       4761          0        189          0          1      58,75       1,66       18,1       2,01        952       3989       3825        163          1       2511        243          0
 36      69525       5245          0        229          0          1      58,75       1,67       18,3       2,03       1070       4395       4194        200          1       2813        275          0
 37      68956       5772          0        271          0          1      58,75       1,67       18,5       2,11       1179       4855       4617        237          1       3156        305          0
 38      68164       6501          0        334          0          1      58,75       1,67       18,7       1,94       1279       5547       5250        296          1       3446        337          0
 39      67390       7205          0        403          0          2      58,75       1,66       18,9       1,87       1408       6192       5839        351          2       3738        375          0
 40      66665       7860          0        470          0          5      58,75       1,66       19,3       1,80       1541       6784       6372        409          3       4024        403          0
 41      65910       8540          0        545          0          5      58,75       1,67       19,4       1,75       1708       7372       6895        474          3       4401        442          0
 42      65289       9111          0        595          0          5      58,75       1,67       19,4       1,72       1882       7819       7304        512          3       4875        490          0
 43      64729       9584          0        679          0          8      58,75       1,68       19,4       1,69       2080       8181       7593        582          6       5359        539          0
 44      64163      10067          0        762          0          8      58,75       1,70       19,4       1,63       2303       8524       7870        648          6       6067        599          0
 45      63695      10418          0        878          0          9      58,75       1,72       19,5       1,70       2497       8798       8051        741          6       6724        689          0
 46      63270      10712          0       1006          0         12      58,75       1,73       19,7       1,71       2709       9011       8154        849          8       7319        743          0
 47      62897      10947          0       1140          0         16      58,75       1,75       19,7       1,74       2899       9194       8217        966         11       7934        794          0
 48      62494      11178          0       1308          0         20      58,75       1,76       19,8       1,73       3097       9399       8282       1103         14       8383        854          0
 49      62118      11363          0       1491          0         28      58,75       1,77       20,1       1,69       3263       9609       8323       1266         20       8753        890          0
 50      61748      11526          0       1694          0         32      58,75       1,78       20,3       1,66       3443       9799       8345       1431         23       9113        934          0
 51      61398      11636          0       1928          0         38      58,75       1,80       20,5       1,61       3622       9970       8317       1626         27       9342        962          0
 52      61111      11668          0       2177          0         44      58,75       1,81       20,8       1,63       3784      10095       8240       1824         31       9511        972          0
 53      60870      11646          0       2435          0         49      58,75       1,82       21,0       1,59       3949      10171       8101       2036         34       9621        990          0
 54      60654      11604          0       2688          0         54      58,75       1,83       21,1       1,60       4137      10199       7923       2238         38       9766       1014          0
 55      60492      11456          0       2983          0         69      58,75       1,83       21,3       1,59       4294      10204       7682       2476         46       9832       1023          0
 56      60325      11299          0       3297          0         79      58,75       1,84       21,5       1,58       4461      10204       7428       2724         52       9877       1025          0
 57      60189      11051          0       3671          0         89      58,75       1,85       21,8       1,54       4597      10204       7112       3036         56       9842       1019          0
 58      60037      10786          0       4077          0        100      58,75       1,86       22,1       1,51       4749      10204       6794       3349         61       9712       1000          0
 59      59909      10484          0       4494          0        113      58,75       1,87       22,3       1,49       4877      10204       6460       3675         69       9523        990          0
 60      59795      10121          0       4955          0        129      58,75       1,87       22,6       1,47       4991      10204       6099       4031         74       9262        951          0
 61      59658       9763          0       5440          0        139      58,75       1,88       22,8       1,45       5124      10208       5719       4409         80       8929        910          0
 62      59534       9399          0       5912          0        155      58,75       1,89       23,0       1,44       5246      10210       5347       4776         87       8608        876          0
 63      59433       9031          0       6364          0        172      58,75       1,89       23,2       1,43       5343      10214       5006       5113         95       8275        838          0
 64      59318       8662          0       6836          0        184      58,75       1,90       23,3       1,41       5441      10231       4666       5464        101       7943        809          0
 65      59185       8308          0       7311          0        196      58,75       1,90       23,5       1,40       5568      10237       4326       5805        106       7584        770          0
 66      59093       7920          0       7774          0        213      58,75       1,91       23,7       1,40       5656      10241       3975       6150        116       7218        739          0
