--------------------------------------------------------------------------------------------------
Simulador de contagios. 1.2.2.3
24/03/2020 13:27:25

Prefijo Sal20k_m2desde10
Potencia para fin de infección  %          3,00
Probabilidad base de contagio   %          1,00
Probabilidad contagio cluster   %          8,00
Probabilidad base de REcontagio %          0,00
Días mínimos de inmunidad                     5
Días de latencia para contagiar               2
Número de individuos                     20.000
Radio                                     1.704
Número de focos iniciales                     4
Número de focos a importar                    0 cada 0 días, del grupo adulto
Radio de contacto                             3
Longitud media 10 pasos                       4
Tabla de vecinos                   Si          

Número clusters objetivo                     10
Número clusters generados                     8
Factor individuos por cluster              1,00
Cluster GID Grupo                Individuos
------- --- -------------------- ----------
      1   1 menor                        60
      2   2 adulto                      100
      3   2 adulto                      100
      4   2 adulto                      100
      5   2 adulto                      100
      6   2 adulto                      100
      7   2 adulto                      100
      8   4 mayor                        40
------- --- -------------------- ----------
                                        700

                        - Edad- % Factor B    Días         %      Num.Pasos      %             %      Individuos
Grupo            Género Min Max   Contagio  Duración    Curación   Min   Max Individuos     clusters    cluster 
---------------- ------ --- --- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------
nene                  2   0   4      100,0       30,0      100,0    50    60       4,00          4,0           40
menor                 2   5  19      200,0       30,0       99,0    45    60      15,00         15,0           60
adulto                2  20  64      500,0       30,0       98,0    40    60      62,00         62,0          100
jubilado              2  65  69     1500,0       30,0       96,0    30    60       5,00          5,0           50
mayor                 2  70 150     2000,0       30,0       85,0    10    60      14,00         14,0           40
---------------- ------ --- --- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------

Valores al final del día
                                                                       Recorrido  Contactos Media días            ----------- Cluster ------------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0 Infectados    Curados    Muertos
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      16979       3021          0          0          0          0      29,33       2,39        0,0       0,00        157          0          0
  2      16196       3804          0          0          0          0      29,30       2,91        0,0       0,00        331          0          0
  3      15450       4550          0          0          0          0      29,28       2,96        0,0       0,00        416          0          0
  4      14594       5403          0          2          0          1      29,25       3,00        6,3       0,00        446          0          0
  5      13747       6247          0          5          0          1      29,24       2,94        5,7       3,00        458          0          0
  6      12887       7102          0         10          0          1      29,24       2,88        6,3       3,00        463          0          0
  7      11986       7992          0         21          0          1      29,22       2,77        7,0       3,00        464          0          0
  8      11094       8880          0         25          0          1      29,22       2,67        7,2       3,00        463          1          0
  9      10256       9703          0         39          0          2      29,23       2,55        7,5       3,00        461          3          0
 10       9459      10476          0         63          0          2      29,23       2,44        8,6       3,50        460          4          0
 11       8705      11201          0         91          0          3      29,23       2,32        9,4       3,50        460          4          0
 12       7971      11895          0        128          0          6      29,23       2,20       10,1       2,33        458          6          0
 13       7275      12520          0        197          0          8      29,24       2,10       10,9       1,50        455          9          0
 14       6619      13109          0        262          0         10      29,22       2,00       11,5       1,38        451         13          0
 15       6045      13595          0        345          0         15      29,22       1,90       12,2       1,20        447         17          0
 16       5506      14025          0        450          0         19      29,22       1,81       12,7       1,13        443         21          0
 17       4988      14416          0        574          0         22      29,22       1,73       13,3       1,11        437         27          0
 18       4535      14714          0        726          0         25      29,21       1,65       14,1       1,09        428         36          0
 19       4097      14976          0        898          0         29      29,21       1,58       14,6       1,04        413         51          0
 20       3729      15134          0       1101          0         36      29,21       1,51       15,2       1,00        403         61          0
 21       3376      15253          0       1322          0         49      29,22       1,46       15,7       1,50        392         72          0
 22       3049      15300          0       1590          0         61      29,21       1,40       16,2       1,47        385         79          0
 23       2737      15322          0       1870          0         71      29,21       1,35       16,8       1,49        368         96          0
 24       2491      15210          0       2220          0         79      29,21       1,30       17,4       1,63        352        112          0
 25       2258      15056          0       2590          0         96      29,22       1,26       18,0       1,76        330        133          1
 26       2036      14827          0       3025          0        112      29,21       1,21       18,7       1,66        313        149          2
 27       1835      14528          0       3502          0        135      29,21       1,18       19,3       1,65        288        173          3
 28       1669      14181          0       3989          0        161      29,21       1,14       19,9       1,63        254        205          5
 29       1525      13706          0       4583          0        186      29,21       1,11       20,5       1,58        239        219          6
 30       1382      13109          0       5298          0        211      29,22       1,08       21,3       1,59        221        235          8
 31       1256      12395          0       6106          0        243      29,23       1,06       22,0       1,57        191        265          8
 32       1136      11838          0       6758          0        268      29,23       1,03       22,4       1,58        120        336          8
 33       1064      11176          0       7466          0        294      29,23       1,01       22,8       1,52         54        402          8
 34        984      10475          0       8213          0        328      29,24       0,99       23,2       1,47         15        438         11
 35        905       9792          0       8944          0        359      29,24       0,97       23,4       1,43          6        447         11
 36        848       9103          0       9662          0        387      29,24       0,96       23,7       1,35          2        449         13
 37        791       8418          0      10383          0        408      29,25       0,94       24,0       1,32          1        449         14
 38        740       7720          0      11103          0        437      29,26       0,93       24,2       1,28          0        449         15
 39        691       7135          0      11709          0        465      29,26       0,92       24,4       1,24          0        449         15
 40        648       6534          0      12331          0        487      29,26       0,91       24,6       1,21          0        449         15
 41        627       5947          0      12917          0        509      29,27       0,90       24,7       1,19          0        449         15
 42        592       5429          0      13445          0        534      29,28       0,89       24,8       1,16          0        449         15
 43        570       4940          0      13934          0        556      29,28       0,88       24,9       1,12          0        449         15
 44        549       4457          0      14425          0        569      29,28       0,88       25,1       1,10          0        449         15
 45        520       4019          0      14876          0        585      29,29       0,87       25,2       1,09          0        449         15
 46        496       3650          0      15252          0        602      29,29       0,86       25,2       1,08          0        449         15
 47        483       3284          0      15619          0        614      29,30       0,86       25,3       1,06          0        449         15
 48        465       2937          0      15967          0        631      29,30       0,86       25,4       1,06          0        449         15
 49        455       2655          0      16249          0        641      29,31       0,85       25,4       1,04          0        449         15
 50        443       2397          0      16511          0        649      29,31       0,85       25,5       1,03          0        449         15
 51        429       2165          0      16750          0        656      29,31       0,85       25,5       1,03          0        449         15
 52        412       1971          0      16955          0        662      29,32       0,84       25,5       1,03          0        449         15
 53        396       1763          0      17172          0        669      29,32       0,84       25,6       1,03          0        449         15
 54        391       1564          0      17374          0        671      29,33       0,84       25,6       1,02          0        449         15
 55        380       1397          0      17544          0        679      29,33       0,84       25,6       1,02          0        449         15
 56        375       1248          0      17694          0        683      29,33       0,84       25,7       1,02          0        449         15
 57        370       1101          0      17845          0        684      29,33       0,83       25,7       1,02          0        449         15
 58        363        965          0      17985          0        687      29,34       0,83       25,7       1,02          0        449         15
 59        358        830          0      18121          0        691      29,34       0,83       25,7       1,01          0        449         15
 60        350        755          0      18201          0        694      29,34       0,83       25,7       1,01          0        449         15
 61        345        671          0      18289          0        695      29,34       0,83       25,7       1,01          0        449         15
 62        340        596          0      18367          0        697      29,34       0,83       25,8       1,01          0        449         15
 63        339        524          0      18439          0        698      29,35       0,83       25,8       1,01          0        449         15
 64        338        471          0      18493          0        698      29,35       0,83       25,8       1,01          0        449         15
 65        335        429          0      18538          0        698      29,35       0,83       25,8       1,01          0        449         15
 66        331        382          0      18588          0        699      29,35       0,83       25,8       1,01          0        449         15
 67        331        344          0      18624          0        701      29,35       0,83       25,8       1,00          0        449         15
 68        330        298          0      18670          0        702      29,36       0,83       25,8       1,00          0        449         15
 69        330        256          0      18711          0        703      29,36       0,83       25,8       1,00          0        449         15
 70        328        231          0      18736          0        705      29,36       0,83       25,8       1,00          0        449         15
 71        328        205          0      18762          0        705      29,36       0,83       25,8       1,00          0        449         15
 72        328        187          0      18780          0        705      29,36       0,82       25,8       1,00          0        449         15
 73        326        170          0      18799          0        705      29,36       0,82       25,8       1,00          0        449         15
 74        326        151          0      18818          0        705      29,36       0,82       25,8       1,00          0        449         15
 75        323        138          0      18832          0        707      29,36       0,82       25,8       1,00          0        449         15
 76        323        124          0      18846          0        707      29,36       0,82       25,8       0,99          0        449         15
 77        320        114          0      18858          0        708      29,37       0,82       25,8       0,99          0        449         15
 78        319        105          0      18868          0        708      29,37       0,82       25,8       0,99          0        449         15
 79        318         95          0      18879          0        708      29,37       0,82       25,8       0,99          0        449         15
 80        318         90          0      18883          0        709      29,37       0,82       25,8       0,99          0        449         15
 81        316         81          0      18894          0        709      29,37       0,82       25,8       0,99          0        449         15
